,INCI,SMILES
363,Pistacia Vera Seed Oil,
364,Rosa Hybrid Flower Extract,
365,Terminalia Sericea Bark/Root Extract,
366,Undecylenoyl Glycine,C=CCCCCCCCCC(=O)NCC(=O)O
367,Triticum Vulgare (Wheat) Germ Oil,
368,Ethylene/Propylene/Styrene Copolymer,
369,Acrylates Copolymer,
370,Lavandula Angustifolia (Lavender) Flower Wax,
371,Mucor Miehei Extract,
372,Jojoba Wax PEG-120 Esters,
373,Cocamide DEA,
374,Lauryl Hydroxysultaine,CCCCCCCCCCCC[N+](C)(C)CC(CS(=O)(=O)[O-])O
375,Magnolia Officinalis Bark Extract,
376,Potassium Cetyl Phosphate,"CCCCCCCCCCCCCCCCOP(=O)([O-])[O-].[K+].[K+]
CCCCCCCCCCCCCCCCOP(=O)(O)[O-].[K+]"
377,PEG-150/Decyl Alcohol/SMDI Copolymer,
378,Laureth-2 Benzoate,CCCCCCCCCCCCOCCOCCOC(=O)C1=CC=CC=C1
379,Rheum Rhaponticum Root Extract,
380,Palm Kernelamide DEA,
381,Isopropyl Alcohol,CC(C)O
